Fact,2007-12-29,2008-12-27,2009-06-27,2009-09-26,2009-12-26,2010-03-27,2010-05-12,2010-06-26,2010-09-25,2010-12-25,2011-03-26,2011-06-25,2011-06-26,2011-09-24,2011-12-31,2012-03-31,2012-06-30,2012-09-29,2012-12-29,2013-02-28,2013-03-30,2013-06-29,2013-09-28,2013-12-28,2014-03-29,2014-05-13,2014-05-31,2014-06-28,2014-09-22,2014-09-27,2014-12-27,2015-02-24,2015-02-28,2015-03-28,2015-06-27,2015-09-26,2015-12-26,2016-03-26,2016-05-31,2016-06-25,2016-09-24,2016-12-31,2017-04-01,2017-07-01,2017-09-30,2017-12-30,2017-12-31,2018-03-31,2018-06-08,2018-06-30,2018-09-29,2018-10-31,2018-12-29,2019-01-01,2019-03-30,2019-06-29,2019-09-28,2019-12-28,2020-03-28,2020-06-27,2020-09-26,2020-12-26,2021-03-27,2021-06-26,2021-09-25,2021-12-25,2022-03-26,2022-06-25,2022-09-24,2022-12-24,2022-12-31,2023-02-28,2023-04-01,2023-07-01,2023-09-30,2023-12-30,2024-03-30,2024-06-29,2024-09-28,2024-12-28
AccountsPayableAndAccruedLiabilitiesCurrent,,,,,,,,,,,,,,,216729000,,,,212424000,,211572000,212097000,214188000,216121000,234218000,,,208834000,,209996000,196565000,,,189349000,186421000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AccountsPayableCurrent,,,,,118210000,,,202587000,179131000,179814000,206768000,223948000,,221909000,216729000,235743000,222216000,217688000,212424000,,211572000,212097000,214188000,216121000,234218000,,,208834000,,209996000,196565000,,,189349000,186421000,186581000,179983000,183059000,,183126000,170888000,177488000,194525000,193087000,216104000,227906000,,190902000,,193612000,200468000,,218115000,,219460000,228137000,197535000,197957000,209132000,241294000,269113000,268099000,289110000,324946000,338723000,347841000,404410000,388498000,376508000,,360312000,,368576000,346000000,355934000,358311000,327414000,353729000,353883000,372197000
AccountsPayableOtherCurrent,,,,,,,,,,179814000,,237688000,,221909000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AccruedIncomeTaxesCurrent,,,,,,,,,,,,13740000,,,17808000,,,,,,16061000,,,,9967000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,16984000,724000,0,,11920000,3734000,0,6074000,10036000,10668000,,,,,,,,,,,
AccruedLiabilitiesCurrent,,,,,55921000,,,94380000,86641000,77705000,81417000,75427000,,82844000,73515000,82479000,77155000,85720000,78503000,,85504000,80988000,87614000,71560000,91110000,,,91631000,,93483000,88480000,,,98636000,89983000,104779000,105593000,111477000,,95158000,109285000,89914000,112231000,102247000,106238000,81029000,83072000,92651000,,79363000,106929000,,91942000,,129161000,174163000,226715000,83736000,100213000,89093000,97539000,89796000,100245000,104497000,116846000,108771000,118535000,130114000,136335000,,123965000,,130750000,131344000,145672000,146903000,149222000,139515000,155016000,132379000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,,392358000,,,396567000,423595000,425678000,444097000,458689000,,452718000,456765000,476125000,476033000,489335000,482162000,,490653000,488506000,504080000,482916000,559711000,,,521288000,,521869000,533116000,,,537505000,552908000,539976000,548567000,568297000,,579608000,594710000,587401000,610129000,628375000,647430000,646759000,,633440000,,639386000,646122000,,646873000,,669304000,682281000,685394000,687132000,683914000,705448000,722286000,743653000,749079000,760035000,766579000,823496000,840826000,844850000,830033000,,837573000,,849618000,861465000,873083000,895845000,908878000,920029000,942816000,913045000
AccumulatedOtherComprehensiveIncomeLossCumulativeChangesInNetGainLossFromCashFlowHedgesEffectNetOfTax,,,,,,,,,,,,-3568000,,-3435000,-3335000,-3235000,-3135000,-3035000,-2935000,,-2835000,-2735000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AccumulatedOtherComprehensiveIncomeLossDefinedBenefitPensionAndOtherPostretirementPlansNetOfTax,,,,,,,,,,-28952000,,-30017000,,-28925000,-51317000,-53188000,-51950000,-53912000,-16297000,,-15361000,-15403000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34209000,,,,33928000,57535000,57154000,56773000,56377000,47966000
AccumulatedOtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentNetOfTax,,,,,16953000,,,-13513000,24456000,34693000,85149000,64810000,,16278000,16070000,40881000,13772000,36272000,30576000,,17973000,-31687000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-260799000,,,,-269812000,-236690000,-257951000,-276554000,-243560000,-306159000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,,,,,,,,,,63645000,,91259000,,41768000,64052000,90834000,62587000,87149000,43938000,,30499000,-19019000,308000,-47685000,-35510000,,,-22204000,,-72071000,-134433000,,,-190204000,-171508000,-223007000,-267218000,-265811000,,-268459000,-265969000,-346359000,-326253000,-305799000,-288102000,-279022000,,-276629000,,-311166000,-322554000,,-303185000,,-298740000,-303072000,-316717000,-313422000,-347868000,-332486000,-322334000,-309786000,-307556000,-283435000,-310222000,-263127000,-232160000,-288184000,-328120000,,-274909000,,-266133000,-255602000,-281632000,-273236000,-295211000,-313829000,-282160000,-332775000
AdditionalPaidInCapital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,0,0,,0,0,0,0,0,0,0,,0,,0,0,,0,,0,0,0,0,,,8493000,335000,0,0,6668000,1479000,5251000,4321000,13251000,,,,,,,0,5668000,5135000,9721000,
AdjustmentsNoncashItemsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivitiesOther,,2867000,-239000,-238000,-238000,20000,,19000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationAndExerciseOfStockOptions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12446000,,,,,,6376000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AdjustmentsToAdditionalPaidInCapitalTaxEffectFromShareBasedCompensation,,,,,,,,,,,,,,,,,,,,,,,,5306000,,,,,,,4264000,,,,,,1699000,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AllocatedShareBasedCompensationExpense,,,,,,,,1229000,1218000,,,1215000,,1265000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41850000,,8689000,11167000,8954000,39219000,7183000,6925000,7557000,29869000
AllowanceForDoubtfulAccountsReceivable,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,9900000,,,,,,21000000,,,,,,,,,9813000,,,,,,,8277000,,,,,9548000,,,,15952000,,,,18050000,,,,,20890000,,,,,32897000,,,,30408000
AllowanceForDoubtfulAccountsReceivableCurrent,,,,,5905000,,,,,8406000,,,,,7555000,,,,7898000,,,,,10369000,,,,,,,6672,,,,,,10055,,,,,10250,,,,9396,,,,,,,8277000,,,,,9548000,,,,15952000,,,,18050000,,,,,20890000,,,,,32897000,,,,30408000
